Date,cldfrac,source
1980-01-01,0.415513426,Fraction
1980-01-02,0.336348921,Fraction
1980-03-01,0.474292815,Fraction
1980-04-01,0.479558378,Fraction
1980-05-01,0.555433154,Fraction
1980-06-01,0.448921353,Fraction
1980-07-01,0.63178277,Fraction
1980-08-01,0.628878474,Fraction
1980-09-01,0.574092925,Fraction
1980-10-01,0.588443696,Fraction
1980-11-01,0.684276283,Fraction
1980-12-01,0.403365731,Fraction
1981-01-01,0.334460765,Fraction
1981-02-01,0.387005597,Fraction
1981-03-01,0.441289485,Fraction
1981-04-01,0.425562263,Fraction
1981-05-01,0.408444643,Fraction
1981-06-01,0.615646183,Fraction
1981-07-01,0.632248163,Fraction
1981-08-01,0.710491657,Fraction
1981-09-01,0.705054462,Fraction
1981-10-01,0.490728557,Fraction
1981-11-01,0.230714351,Fraction
1981-12-01,0.434004307,Fraction
1982-01-01,0.411150247,Fraction
1982-02-01,0.337195694,Fraction
1982-03-01,0.437642395,Fraction
1982-04-01,0.518149137,Fraction
1982-05-01,0.504984617,Fraction
1982-06-01,0.660627306,Fraction
1982-07-01,0.599835098,Fraction
1982-08-01,0.587746501,Fraction
1982-09-01,0.644952238,Fraction
1982-10-01,0.593864858,Fraction
1982-11-01,0.576993465,Fraction
1982-12-01,0.461976945,Fraction
1983-01-01,0.575666785,Fraction
1983-02-01,0.583832145,Fraction
1983-03-01,0.276530594,Fraction
1983-04-01,0.260561764,Fraction
1983-05-01,0.395821005,Fraction
1983-06-01,0.574125767,Fraction
1983-07-01,0.618416548,Fraction
1983-08-01,0.655411422,Fraction
1983-09-01,0.633141398,Fraction
1983-10-01,0.691225529,Fraction
1983-11-01,0.489794463,Fraction
1983-12-01,0.678881764,Fraction
1984-01-01,0.55966717,Fraction
1984-02-01,0.524747372,Fraction
1984-03-01,0.485058129,Fraction
1984-04-01,0.375276774,Fraction
1984-05-01,0.711063385,Fraction
1984-06-01,0.582684636,Fraction
1984-07-01,0.699174583,Fraction
1984-08-01,0.614662588,Fraction
1984-09-01,0.59933573,Fraction
1984-10-01,0.36206013,Fraction
1984-11-01,0.414756984,Fraction
1984-12-01,0.342494011,Fraction
1985-01-01,0.228288814,Fraction
1985-02-01,0.337284148,Fraction
1985-03-01,0.344317734,Fraction
1985-04-01,0.502005577,Fraction
1985-05-01,0.411124557,Fraction
1985-06-01,0.641667664,Fraction
1985-07-01,0.714836895,Fraction
1985-08-01,0.687665761,Fraction
1985-09-01,0.71516794,Fraction
1985-10-01,0.544696271,Fraction
1985-11-01,0.361885548,Fraction
1985-12-01,0.483313382,Fraction
1986-01-01,0.380388439,Fraction
1986-02-01,0.369931191,Fraction
1986-03-01,0.258151263,Fraction
1986-04-01,0.24341464,Fraction
1986-05-01,0.554330647,Fraction
1986-06-01,0.680330753,Fraction
1986-07-01,0.63562876,Fraction
1986-08-01,0.646997213,Fraction
1986-09-01,0.59707427,Fraction
1986-10-01,0.471598178,Fraction
1986-11-01,0.559036255,Fraction
1986-12-01,0.587065399,Fraction
1987-01-01,0.376875401,Fraction
1987-02-01,0.591141462,Fraction
1987-03-01,0.579421997,Fraction
1987-04-01,0.305612147,Fraction
1987-05-01,0.366909057,Fraction
1987-06-01,0.663792551,Fraction
1987-07-01,0.55301398,Fraction
1987-08-01,0.533689201,Fraction
1987-09-01,0.682060361,Fraction
1987-10-01,0.494673163,Fraction
1987-11-01,0.537963629,Fraction
1987-12-01,0.513709843,Fraction
1988-01-01,0.668684185,Fraction
1988-02-01,0.417724341,Fraction
1988-03-01,0.472115099,Fraction
1988-04-01,0.43479681,Fraction
1988-05-01,0.424352884,Fraction
1988-06-01,0.672040641,Fraction
1988-07-01,0.730040193,Fraction
1988-08-01,0.680868208,Fraction
1988-09-01,0.565315783,Fraction
1988-10-01,0.290977329,Fraction
1988-11-01,0.426761925,Fraction
1988-12-01,0.373789221,Fraction
1989-01-01,0.226356983,Fraction
1989-02-01,0.21450232,Fraction
1989-03-01,0.360211134,Fraction
1989-04-01,0.445704073,Fraction
1989-05-01,0.461553782,Fraction
1989-06-01,0.630244255,Fraction
1989-07-01,0.645692945,Fraction
1989-08-01,0.636727273,Fraction
1989-09-01,0.627269745,Fraction
1989-10-01,0.521211863,Fraction
1989-11-01,0.56004256,Fraction
1989-12-01,0.443164557,Fraction
1990-01-01,0.316107422,Fraction
1990-02-01,0.36577493,Fraction
1990-03-01,0.486324698,Fraction
1990-04-01,0.4188039,Fraction
1990-05-01,0.594084918,Fraction
1990-06-01,0.725554228,Fraction
1990-07-01,0.685259044,Fraction
1990-08-01,0.699611962,Fraction
1990-09-01,0.690175116,Fraction
1990-10-01,0.511769533,Fraction
1990-11-01,0.385483652,Fraction
1990-12-01,0.351332605,Fraction
1991-01-01,0.476791203,Fraction
1991-02-01,0.373796999,Fraction
1991-03-01,0.376909703,Fraction
1991-04-01,0.515414655,Fraction
1991-05-01,0.607366443,Fraction
1991-06-01,0.684584379,Fraction
1991-07-01,0.681339562,Fraction
1991-08-01,0.558563113,Fraction
1991-09-01,0.664848626,Fraction
1991-10-01,0.723444939,Fraction
1991-11-01,0.615082383,Fraction
1991-12-01,0.558451295,Fraction
1992-01-01,0.569349825,Fraction
1992-02-01,0.550692737,Fraction
1992-03-01,0.424574465,Fraction
1992-04-01,0.594867587,Fraction
1992-05-01,0.370212525,Fraction
1992-06-01,0.766125262,Fraction
1992-07-01,0.571988583,Fraction
1992-08-01,0.656562209,Fraction
1992-09-01,0.688389242,Fraction
1992-10-01,0.544460952,Fraction
1992-11-01,0.614398539,Fraction
1992-12-01,0.413775295,Fraction
1993-01-01,0.617121696,Fraction
1993-02-01,0.471258581,Fraction
1993-03-01,0.520782709,Fraction
1993-04-01,0.450421005,Fraction
1993-05-01,0.506190956,Fraction
1993-06-01,0.527064621,Fraction
1993-07-01,0.610898435,Fraction
1993-08-01,0.642745495,Fraction
1993-09-01,0.625391006,Fraction
1993-10-01,0.6459589,Fraction
1993-11-01,0.482004255,Fraction
1993-12-01,0.454823285,Fraction
1994-01-01,0.511242211,Fraction
1994-02-01,0.419618845,Fraction
1994-03-01,0.407394767,Fraction
1994-04-01,0.562479556,Fraction
1994-05-01,0.566986561,Fraction
1994-06-01,0.787103236,Fraction
1994-07-01,0.657322168,Fraction
1994-08-01,0.655582666,Fraction
1994-09-01,0.736590445,Fraction
1994-10-01,0.506055415,Fraction
1994-11-01,0.443144262,Fraction
1994-12-01,0.471711487,Fraction
1995-01-01,0.501166761,Fraction
1995-02-01,0.402942389,Fraction
1995-03-01,0.390401125,Fraction
1995-04-01,0.566656709,Fraction
1995-05-01,0.486494213,Fraction
1995-06-01,0.587346673,Fraction
1995-07-01,0.725016832,Fraction
1995-08-01,0.639455974,Fraction
1995-09-01,0.618022025,Fraction
1995-10-01,0.73545146,Fraction
1995-11-01,0.554585099,Fraction
1995-12-01,0.499743789,Fraction
1996-01-01,0.386490852,Fraction
1996-02-01,0.274518788,Fraction
1996-03-01,0.406373322,Fraction
1996-04-01,0.413119525,Fraction
1996-05-01,0.486147016,Fraction
1996-06-01,0.637815177,Fraction
1996-07-01,0.712691069,Fraction
1996-08-01,0.677318573,Fraction
1996-09-01,0.510083437,Fraction
1996-10-01,0.581781924,Fraction
1996-11-01,0.414009243,Fraction
1996-12-01,0.492867857,Fraction
1997-01-01,0.343114913,Fraction
1997-02-01,0.442326725,Fraction
1997-03-01,0.430260599,Fraction
1997-04-01,0.564092696,Fraction
1997-05-01,0.628576279,Fraction
1997-06-01,0.564564466,Fraction
1997-07-01,0.652112901,Fraction
1997-08-01,0.621250749,Fraction
1997-09-01,0.683471262,Fraction
1997-10-01,0.448804617,Fraction
1997-11-01,0.623338759,Fraction
1997-12-01,0.532118559,Fraction
1998-01-01,0.492046028,Fraction
1998-02-01,0.301942974,Fraction
1998-03-01,0.304041564,Fraction
1998-04-01,0.214572355,Fraction
1998-05-01,0.405477196,Fraction
1998-06-01,0.528811634,Fraction
1998-07-01,0.625567555,Fraction
1998-08-01,0.573142946,Fraction
1998-09-01,0.770936787,Fraction
1998-10-01,0.444314927,Fraction
1998-11-01,0.379481286,Fraction
1998-12-01,0.281952977,Fraction
1999-01-01,0.33079657,Fraction
1999-02-01,0.267486304,Fraction
1999-03-01,0.308850497,Fraction
1999-04-01,0.363156557,Fraction
1999-05-01,0.475331366,Fraction
1999-06-01,0.788253248,Fraction
1999-07-01,0.537484586,Fraction
1999-08-01,0.668634713,Fraction
1999-09-01,0.712112248,Fraction
1999-10-01,0.490577102,Fraction
1999-11-01,0.318846375,Fraction
1999-12-01,0.354310751,Fraction
2000-01-01,0.208044171,Fraction
2000-02-01,0.256193876,Fraction
2000-03-01,0.333697706,Fraction
2000-04-01,0.304713756,Fraction
2000-05-01,0.470252067,Fraction
2000-06-01,0.614849269,Fraction
2000-07-01,0.629853606,Fraction
2000-08-01,0.61571312,Fraction
2000-09-01,0.647248924,Fraction
2000-10-01,0.373621702,Fraction
2000-11-01,0.428417683,Fraction
2000-12-01,0.384401768,Fraction
2001-01-01,0.325282633,Fraction
2001-02-01,0.343897939,Fraction
2001-03-01,0.315370589,Fraction
2001-04-01,0.29737246,Fraction
2001-05-01,0.51014936,Fraction
2001-06-01,0.707454264,Fraction
2001-07-01,0.691704869,Fraction
2001-08-01,0.67850697,Fraction
2001-09-01,0.694357574,Fraction
2001-10-01,0.666932881,Fraction
2001-11-01,0.382585287,Fraction
2001-12-01,0.35080564,Fraction
2002-01-01,0.287078798,Fraction
2002-02-01,0.443867356,Fraction
2002-03-01,0.31583944,Fraction
2002-04-01,0.368864536,Fraction
2002-05-01,0.375114411,Fraction
2002-06-01,0.791173518,Fraction
2002-07-01,0.695006192,Fraction
2002-08-01,0.623304009,Fraction
2002-09-01,0.760036409,Fraction
2002-10-01,0.453307569,Fraction
2002-11-01,0.467601925,Fraction
2002-12-01,0.457336426,Fraction
2003-01-01,0.439000815,Fraction
2003-02-01,0.294306725,Fraction
2003-03-01,0.481512785,Fraction
2003-04-01,0.412823111,Fraction
2003-05-01,0.502913475,Fraction
2003-06-01,0.761826336,Fraction
2003-07-01,0.641354501,Fraction
2003-08-01,0.69624579,Fraction
2003-09-01,0.663637459,Fraction
2003-10-01,0.454063594,Fraction
2003-11-01,0.367822737,Fraction
2003-12-01,0.428502768,Fraction
2004-01-01,0.336644411,Fraction
2004-02-01,0.410648227,Fraction
2004-03-01,0.373262346,Fraction
2004-04-01,0.40947032,Fraction
2004-05-01,0.40484637,Fraction
2004-06-01,0.637762368,Fraction
2004-07-01,0.670369089,Fraction
2004-08-01,0.720146954,Fraction
2004-09-01,0.686814427,Fraction
2004-10-01,0.507964075,Fraction
2004-11-01,0.323536158,Fraction
2004-12-01,0.513462126,Fraction
2005-01-01,0.249336511,Fraction
2005-02-01,0.385088056,Fraction
2005-03-01,0.503215551,Fraction
2005-04-01,0.251006454,Fraction
2005-05-01,0.418382376,Fraction
2005-06-01,0.659031034,Fraction
2005-07-01,0.674916089,Fraction
2005-08-01,0.642766654,Fraction
2005-09-01,0.612194836,Fraction
2005-10-01,0.530044258,Fraction
2005-11-01,0.369532615,Fraction
2005-12-01,0.462549984,Fraction
2006-01-01,0.402096272,Fraction
2006-02-01,0.322692245,Fraction
2006-03-01,0.241938606,Fraction
2006-04-01,0.299161941,Fraction
2006-05-01,0.463326067,Fraction
2006-06-01,0.524821103,Fraction
2006-07-01,0.662752807,Fraction
2006-08-01,0.604911208,Fraction
2006-09-01,0.572334826,Fraction
2006-10-01,0.457720935,Fraction
2006-11-01,0.4353486,Fraction
2006-12-01,0.505607247,Fraction
2007-01-01,0.405114919,Fraction
2007-02-01,0.388109773,Fraction
2007-03-01,0.355589807,Fraction
2007-04-01,0.350692093,Fraction
2007-05-01,0.304286569,Fraction
2007-06-01,0.594080031,Fraction
2007-07-01,0.667581201,Fraction
2007-08-01,0.553404331,Fraction
2007-09-01,0.637437284,Fraction
2007-10-01,0.588561893,Fraction
2007-11-01,0.295793802,Fraction
2007-12-01,0.256837189,Fraction
2008-01-01,0.390452355,Fraction
2008-02-01,0.354404122,Fraction
2008-03-01,0.378748298,Fraction
2008-04-01,0.284277171,Fraction
2008-05-01,0.384275943,Fraction
2008-06-01,0.567748427,Fraction
2008-07-01,0.70168674,Fraction
2008-08-01,0.74701798,Fraction
2008-09-01,0.578984737,Fraction
2008-10-01,0.601440191,Fraction
2008-11-01,0.218902692,Fraction
2008-12-01,0.230241477,Fraction
2009-01-01,0.317756474,Fraction
2009-02-01,0.200403109,Fraction
2009-03-01,0.286145598,Fraction
2009-04-01,0.351126343,Fraction
2009-05-01,0.481777728,Fraction
2009-06-01,0.720957696,Fraction
2009-07-01,0.611777365,Fraction
2009-08-01,0.509601772,Fraction
2009-09-01,0.680128753,Fraction
2009-10-01,0.482360721,Fraction
2009-11-01,0.546978891,Fraction
2009-12-01,0.47303161,Fraction
2010-01-01,0.427489281,Fraction
2010-02-01,0.448509693,Fraction
2010-03-01,0.340566456,Fraction
2010-04-01,0.408927888,Fraction
2010-05-01,0.294326216,Fraction
2010-06-01,0.604713857,Fraction
2010-07-01,0.666656971,Fraction
2010-08-01,0.695290208,Fraction
2010-09-01,0.526349664,Fraction
2010-10-01,0.332570732,Fraction
2010-11-01,0.228386566,Fraction
2010-12-01,0.14920266,Fraction
2011-01-01,0.371429503,Fraction
2011-02-01,0.247412458,Fraction
2011-03-01,0.255600899,Fraction
2011-04-01,0.259704739,Fraction
2011-05-01,0.254720211,Fraction
2011-06-01,0.561477542,Fraction
2011-07-01,0.707630694,Fraction
2011-08-01,0.683547437,Fraction
2011-09-01,0.567714393,Fraction
2011-10-01,0.582377255,Fraction
2011-11-01,0.186841175,Fraction
2011-12-01,0.227796182,Fraction
2012-01-01,0.40039286,Fraction
2012-02-01,0.547233701,Fraction
2012-03-01,0.262279451,Fraction
2012-04-01,0.362672269,Fraction
2012-05-01,0.485304326,Fraction
2012-06-01,0.755946577,Fraction
2012-07-01,0.551522851,Fraction
2012-08-01,0.659871638,Fraction
2012-09-01,0.649320126,Fraction
2012-10-01,0.408074796,Fraction
2012-11-01,0.289605498,Fraction
2012-12-01,0.390786946,Fraction
2013-01-01,0.354453385,Fraction
2013-02-01,0.292542458,Fraction
2013-03-01,0.301277876,Fraction
2013-04-01,0.439564407,Fraction
2013-05-01,0.491242111,Fraction
2013-06-01,0.71463412,Fraction
2013-07-01,0.708678424,Fraction
2013-08-01,0.640151918,Fraction
2013-09-01,0.619050026,Fraction
2013-10-01,0.464368343,Fraction
2013-11-01,0.570020378,Fraction
2013-12-01,0.397458047,Fraction
2014-01-01,0.428043067,Fraction
2014-02-01,0.266721576,Fraction
2014-03-01,0.387259841,Fraction
2014-04-01,0.477776766,Fraction
2014-05-01,0.51670599,Fraction
2014-06-01,0.669182956,Fraction
2014-07-01,0.676189959,Fraction
2014-08-01,0.637249172,Fraction
2014-09-01,0.701205611,Fraction
2014-10-01,0.521095037,Fraction
2014-11-01,0.459449857,Fraction
2014-12-01,0.391247869,Fraction
2015-01-01,0.585274577,Fraction
2015-02-01,0.330744058,Fraction
2015-03-01,0.382869869,Fraction
2015-04-01,0.544423521,Fraction
2015-05-01,0.503045857,Fraction
2015-06-01,0.641561687,Fraction
2015-07-01,0.636966527,Fraction
2015-08-01,0.630991876,Fraction
2015-09-01,0.791918516,Fraction
2015-10-01,0.510901749,Fraction
